studyauthor,graderange,country,studysetting,intmean,intsd,intn,cmean,csd,cn
Gordon_etal(2016),Other (combined grades),Australia/New Zealand,Paper-pencil,3.61,1.89,28,1.84,1.6,25
Sithole_etal(2016),Post-Secondary (Undergraduate/Graduate/Technical),Other,Paper-pencil,57.52,16.85,40,38.72,17.05,41
Tindall-FordAgostinho(2015),Grades 6-8,Australia/New Zealand,Computer-based,20.34,5.73,17,14.33,6.4,15
CraigTwyford(2015),Not Stated,USA,Not Reported,2.13,1.39,24,2.48,1.48,25
IserbytByra(2013),Grades 6-8,Europe,Paper-pencil,204.16,196.57,55,137.83,177.4,56
Agostinho_etal(2013),Post-Secondary (Undergraduate/Graduate/Technical),Australia/New Zealand,Computer-based,4.73,3.13,11,4.1,1.85,10
Ozogul_etal(2012)_,Post-Secondary (Undergraduate/Graduate/Technical),USA,Computer-based,3.68,3.6,110,3.26,3.63,55
Roodenrysetal(2012)_Exp 1,Post-Secondary (Undergraduate/Graduate/Technical),Australia/New Zealand,Paper-pencil,3.34,0.9,29,1.78,1.37,27
Roodenrysetal(2012)_Exp2_Part 1,Post-Secondary (Undergraduate/Graduate/Technical),Australia/New Zealand,Paper-pencil,3.42,0.72,24,1.38,0.86,29
Iserbyt_etal(2012),Post-Secondary (Undergraduate/Graduate/Technical),Europe,Paper-pencil,2.25,0.95,30,1.85,0.75,28
JohnsonMayer(2012)_Exp1,Post-Secondary (Undergraduate/Graduate/Technical),USA,Computer-based,2.68,1.76,22,1.45,1.26,22
JohnsonMayer(2012)_Exp2,Post-Secondary (Undergraduate/Graduate/Technical),USA,Computer-based,2.31,1.51,29,1.34,1.08,29
JohnsonMayer(2012)_Exp3,Not Stated,Not Stated,Computer-based,2.72,1.75,25,2.12,1.64,25
Liu_etal(2012),Grades K-5,Asia,Mobile device,8.81,2.22,27,8.74,1.65,27
FloraxPloetzner(2010),Post-Secondary (Undergraduate/Graduate/Technical),Europe,Computer-based,16.2,4.3,33,13.2,4.7,33
Schmidt‐Weigand_etal(2010),Post-Secondary (Undergraduate/Graduate/Technical),Europe,Computer-based,2,1.41,13,1.23,0.93,13
Austin(2009)_Exp 3. AT vs. AT2,Post-Secondary (Undergraduate/Graduate/Technical),Not Stated,Computer-based,3.72,1.47,33,1.88,1.15,25
Austin(2009)_Exp 3. ANT vs ANT 2,Post-Secondary (Undergraduate/Graduate/Technical),Not Stated,Computer-based,3.35,1.43,20,2.2,1.04,28
Cierniak_etal(2009)_ST Perceptual,Post-Secondary (Undergraduate/Graduate/Technical),Europe,Computer-based,48.26,14.56,17,36.19,14.4,15
Cierniak_etal_(2009)_ST Cognitive,Post-Secondary (Undergraduate/Graduate/Technical),Europe,Computer-based,52.15,14.43,17,39.23,14.89,17
Cierniak_etal(2009)_ ST Without,Post-Secondary (Undergraduate/Graduate/Technical),Europe,Computer-based,50.14,14.4,14,44.61,14.38,13
Angeli_etal(2009),Post-Secondary (Undergraduate/Graduate/Technical),Not Stated,Computer-based,1.98,0.78,52,1.8,0.5,49
OwensSweller(2008),Grades 6-8,Australia/New Zealand,Paper-pencil,18.92,7.59,26,13.5,9.8,26
LeahySweller(2004)exp2s,Grades K-5,Australia/New Zealand,Paper-pencil,4.37,1.7,8,5,0.9,8
LeahySweller(2004)exp2i,Grades K-5,Australia/New Zealand,Paper-pencil,5.75,0.5,8,4.63,1.2,8
May(2005),Post-Secondary (Undergraduate/Graduate/Technical),USA,Mixed,18.2,6.84,10,21.4,6.19,10
ChandlerSweller(1996)_FIX LABELS conventional & modified,Post-Secondary (Undergraduate/Graduate/Technical),Australia/New Zealand,Mixed,1.8,0.9,10,1.85,0.91,10
